donor	stratum	family	method	gene	fields	state	eligible	called	correct	allele_matches	cohort
HG00658	EAS	HG00656	T1K	A	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	T1K	A	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	T1K	B	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	T1K	B	4	complete	1	1	0	1	development
HG00658	EAS	HG00656	T1K	C	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	T1K	C	4	complete	1	1	0	1	development
HG00658	EAS	HG00656	T1K	DPA1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	T1K	DPA1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	T1K	DPB1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	T1K	DPB1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	T1K	DQA1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	T1K	DQA1	4	complete	1	1	0	1	development
HG00658	EAS	HG00656	T1K	DQB1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	T1K	DQB1	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	T1K	DRB1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	T1K	DRB1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	ipd_genome	A	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	A	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	B	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	B	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	C	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	C	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	DPA1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	DPA1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	ipd_genome	DPB1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	DPB1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	ipd_genome	DQA1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	DQA1	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	DQB1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	DQB1	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	DRB1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	ipd_genome	DRB1	4	complete	0	0	0	0	development
HG02132	EAS	HG02132	T1K	A	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	T1K	A	4	complete	1	1	1	2	development
HG02132	EAS	HG02132	T1K	B	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	T1K	B	4	complete	1	1	0	1	development
HG02132	EAS	HG02132	T1K	C	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	T1K	C	4	complete	1	1	0	1	development
HG02132	EAS	HG02132	T1K	DPA1	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	T1K	DPA1	4	complete	0	0	0	0	development
HG02132	EAS	HG02132	T1K	DPB1	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	T1K	DPB1	4	complete	1	1	0	0	development
HG02132	EAS	HG02132	T1K	DQA1	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	T1K	DQA1	4	complete	1	1	0	1	development
HG02132	EAS	HG02132	T1K	DQB1	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	T1K	DQB1	4	complete	1	1	0	0	development
HG02132	EAS	HG02132	T1K	DRB1	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	T1K	DRB1	4	complete	0	0	0	0	development
HG02132	EAS	HG02132	ipd_genome	A	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	A	4	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	B	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	B	4	complete	1	1	0	1	development
HG02132	EAS	HG02132	ipd_genome	C	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	C	4	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	DPA1	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	DPA1	4	complete	0	0	0	0	development
HG02132	EAS	HG02132	ipd_genome	DPB1	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	DPB1	4	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	DQA1	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	DQA1	4	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	DQB1	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	DQB1	4	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	DRB1	2	complete	1	1	1	2	development
HG02132	EAS	HG02132	ipd_genome	DRB1	4	complete	0	0	0	0	development
HG03831	SAS	HG03829	T1K	A	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	T1K	A	4	complete	1	1	1	2	development
HG03831	SAS	HG03829	T1K	B	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	T1K	B	4	complete	1	1	0	1	development
HG03831	SAS	HG03829	T1K	C	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	T1K	C	4	complete	1	1	0	1	development
HG03831	SAS	HG03829	T1K	DPA1	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	T1K	DPA1	4	complete	0	0	0	0	development
HG03831	SAS	HG03829	T1K	DPB1	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	T1K	DPB1	4	complete	1	1	0	1	development
HG03831	SAS	HG03829	T1K	DQA1	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	T1K	DQA1	4	complete	1	1	0	1	development
HG03831	SAS	HG03829	T1K	DQB1	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	T1K	DQB1	4	complete	1	1	1	2	development
HG03831	SAS	HG03829	T1K	DRB1	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	T1K	DRB1	4	complete	0	0	0	0	development
HG03831	SAS	HG03829	ipd_genome	A	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	A	4	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	B	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	B	4	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	C	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	C	4	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	DPA1	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	DPA1	4	complete	0	0	0	0	development
HG03831	SAS	HG03829	ipd_genome	DPB1	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	DPB1	4	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	DQA1	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	DQA1	4	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	DQB1	2	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	DQB1	4	complete	1	1	1	2	development
HG03831	SAS	HG03829	ipd_genome	DRB1	2	complete	1	1	0	1	development
HG03831	SAS	HG03829	ipd_genome	DRB1	4	complete	0	0	0	0	development
HG03874	SAS	HG03874	T1K	A	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	A	4	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	B	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	B	4	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	C	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	C	4	complete	1	1	0	1	development
HG03874	SAS	HG03874	T1K	DPA1	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	DPA1	4	complete	0	0	0	0	development
HG03874	SAS	HG03874	T1K	DPB1	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	DPB1	4	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	DQA1	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	DQA1	4	complete	0	0	0	0	development
HG03874	SAS	HG03874	T1K	DQB1	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	DQB1	4	complete	1	1	0	1	development
HG03874	SAS	HG03874	T1K	DRB1	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	T1K	DRB1	4	complete	0	0	0	0	development
HG03874	SAS	HG03874	ipd_genome	A	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	A	4	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	B	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	B	4	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	C	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	C	4	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	DPA1	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	DPA1	4	complete	0	0	0	0	development
HG03874	SAS	HG03874	ipd_genome	DPB1	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	DPB1	4	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	DQA1	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	DQA1	4	complete	0	0	0	0	development
HG03874	SAS	HG03874	ipd_genome	DQB1	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	DQB1	4	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	DRB1	2	complete	1	1	1	2	development
HG03874	SAS	HG03874	ipd_genome	DRB1	4	complete	0	0	0	0	development
HG01530	EUR	IBS011	T1K	A	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	A	4	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	B	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	B	4	complete	0	0	0	0	development
HG01530	EUR	IBS011	T1K	C	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	C	4	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	DPA1	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	DPA1	4	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	DPB1	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	DPB1	4	complete	1	1	0	0	development
HG01530	EUR	IBS011	T1K	DQA1	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	DQA1	4	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	DQB1	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	DQB1	4	complete	1	1	0	1	development
HG01530	EUR	IBS011	T1K	DRB1	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	T1K	DRB1	4	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	A	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	A	4	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	B	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	B	4	complete	0	0	0	0	development
HG01530	EUR	IBS011	ipd_genome	C	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	C	4	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	DPA1	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	DPA1	4	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	DPB1	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	DPB1	4	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	DQA1	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	DQA1	4	complete	1	1	0	1	development
HG01530	EUR	IBS011	ipd_genome	DQB1	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	DQB1	4	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	DRB1	2	complete	1	1	1	2	development
HG01530	EUR	IBS011	ipd_genome	DRB1	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	A	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	A	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	B	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	B	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	C	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	C	4	complete	1	1	0	1	development
NA20806	EUR	NA20806	T1K	DPA1	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	DPA1	4	complete	1	1	0	1	development
NA20806	EUR	NA20806	T1K	DPB1	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	DPB1	4	complete	1	1	0	1	development
NA20806	EUR	NA20806	T1K	DQA1	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	DQA1	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	DQB1	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	DQB1	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	DRB1	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	T1K	DRB1	4	complete	1	1	0	0	development
NA20806	EUR	NA20806	ipd_genome	A	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	A	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	B	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	B	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	C	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	C	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	DPA1	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	DPA1	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	DPB1	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	DPB1	4	complete	1	1	0	1	development
NA20806	EUR	NA20806	ipd_genome	DQA1	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	DQA1	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	DQB1	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	DQB1	4	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	DRB1	2	complete	1	1	1	2	development
NA20806	EUR	NA20806	ipd_genome	DRB1	4	complete	1	1	0	0	development
HG03516	AFR	NG107	T1K	A	2	complete	1	1	1	2	development
HG03516	AFR	NG107	T1K	A	4	complete	1	1	1	2	development
HG03516	AFR	NG107	T1K	B	2	complete	1	1	1	2	development
HG03516	AFR	NG107	T1K	B	4	complete	0	0	0	0	development
HG03516	AFR	NG107	T1K	C	2	complete	1	1	1	2	development
HG03516	AFR	NG107	T1K	C	4	complete	1	1	0	1	development
HG03516	AFR	NG107	T1K	DPA1	2	complete	0	0	0	0	development
HG03516	AFR	NG107	T1K	DPA1	4	complete	0	0	0	0	development
HG03516	AFR	NG107	T1K	DPB1	2	complete	1	1	1	2	development
HG03516	AFR	NG107	T1K	DPB1	4	complete	1	1	1	2	development
HG03516	AFR	NG107	T1K	DQA1	2	complete	1	1	1	2	development
HG03516	AFR	NG107	T1K	DQA1	4	complete	1	1	0	0	development
HG03516	AFR	NG107	T1K	DQB1	2	complete	1	1	1	2	development
HG03516	AFR	NG107	T1K	DQB1	4	complete	1	1	0	0	development
HG03516	AFR	NG107	T1K	DRB1	2	complete	1	1	1	2	development
HG03516	AFR	NG107	T1K	DRB1	4	complete	0	0	0	0	development
HG03516	AFR	NG107	ipd_genome	A	2	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	A	4	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	B	2	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	B	4	complete	0	0	0	0	development
HG03516	AFR	NG107	ipd_genome	C	2	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	C	4	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	DPA1	2	complete	0	0	0	0	development
HG03516	AFR	NG107	ipd_genome	DPA1	4	complete	0	0	0	0	development
HG03516	AFR	NG107	ipd_genome	DPB1	2	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	DPB1	4	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	DQA1	2	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	DQA1	4	complete	1	1	0	1	development
HG03516	AFR	NG107	ipd_genome	DQB1	2	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	DQB1	4	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	DRB1	2	complete	1	1	1	2	development
HG03516	AFR	NG107	ipd_genome	DRB1	4	complete	0	0	0	0	development
NA19185	AFR	Y039	T1K	A	2	complete	1	1	1	2	development
NA19185	AFR	Y039	T1K	A	4	complete	1	1	1	2	development
NA19185	AFR	Y039	T1K	B	2	complete	1	1	1	2	development
NA19185	AFR	Y039	T1K	B	4	complete	0	0	0	0	development
NA19185	AFR	Y039	T1K	C	2	complete	1	1	1	2	development
NA19185	AFR	Y039	T1K	C	4	complete	1	1	1	2	development
NA19185	AFR	Y039	T1K	DPA1	2	complete	1	1	1	2	development
NA19185	AFR	Y039	T1K	DPA1	4	complete	0	0	0	0	development
NA19185	AFR	Y039	T1K	DPB1	2	complete	1	1	1	2	development
NA19185	AFR	Y039	T1K	DPB1	4	complete	1	1	0	1	development
NA19185	AFR	Y039	T1K	DQA1	2	complete	1	1	1	2	development
NA19185	AFR	Y039	T1K	DQA1	4	complete	1	1	0	0	development
NA19185	AFR	Y039	T1K	DQB1	2	complete	1	1	1	2	development
NA19185	AFR	Y039	T1K	DQB1	4	complete	1	1	0	0	development
NA19185	AFR	Y039	T1K	DRB1	2	complete	1	1	1	2	development
NA19185	AFR	Y039	T1K	DRB1	4	complete	0	0	0	0	development
NA19185	AFR	Y039	ipd_genome	A	2	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	A	4	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	B	2	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	B	4	complete	0	0	0	0	development
NA19185	AFR	Y039	ipd_genome	C	2	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	C	4	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	DPA1	2	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	DPA1	4	complete	0	0	0	0	development
NA19185	AFR	Y039	ipd_genome	DPB1	2	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	DPB1	4	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	DQA1	2	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	DQA1	4	complete	1	1	0	0	development
NA19185	AFR	Y039	ipd_genome	DQB1	2	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	DQB1	4	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	DRB1	2	complete	1	1	1	2	development
NA19185	AFR	Y039	ipd_genome	DRB1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	alignment_only_hprc	A	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	A	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	B	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	B	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	C	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	C	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	DPA1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	DPA1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	alignment_only_hprc	DPB1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	DPB1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	alignment_only_hprc	DQA1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	DQA1	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	DQB1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	DQB1	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	DRB1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc	DRB1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	A	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	A	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	B	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	B	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	C	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	C	4	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	DPA1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	DPA1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	DPB1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	DPB1	4	complete	0	0	0	0	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	DQA1	2	complete	1	1	1	2	development
HG00658	EAS	HG00656	alignment_only_hprc_asian	DQA1	4	complete	1	1	1	2	development
