donor	arm	gene	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
HG00706	A-pairing	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG00706	A-pairing	B	1	1	8165	8165	0	1	1	1	1	1	1	1
HG00706	A-pairing	C	21	1	8586	8607	0	0	1	1	1	1	1	1
HG00706	A-pairing	DPA1	198	0	19445	19628	72	73	1	1	1	1	1	1
HG00706	A-pairing	DPB1	178	0	22996	22996	178	178	1	1	1	1	1	1
HG00706	A-pairing	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG00706	A-pairing	DQB1	819	0	14213	14997	802	819	1	1	1	1	1	1
HG00706	A-pairing	DRB1	1332	0	22475	22490	0	668	1	1	1	1	1	1
HG00706	AE-ipd365-pairing	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG00706	AE-ipd365-pairing	B	1	1	8165	8165	0	1	1	1	1	1	1	1
HG00706	AE-ipd365-pairing	C	21	1	8586	8607	0	0	1	1	1	1	1	1
HG00706	AE-ipd365-pairing	DPA1	198	0	19445	19628	72	73	1	1	1	1	1	1
HG00706	AE-ipd365-pairing	DPB1	180	0	22996	22996	178	180	1	1	1	1	1	1
HG00706	AE-ipd365-pairing	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG00706	AE-ipd365-pairing	DQB1	819	0	14213	14997	802	819	1	1	1	1	1	1
HG00706	AE-ipd365-pairing	DRB1	1332	0	22475	22490	0	668	1	1	1	1	1	1
HG00706	AE-panel-pairing	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG00706	AE-panel-pairing	B	1	1	8165	8165	0	1	1	1	1	1	1	1
HG00706	AE-panel-pairing	C	21	1	8586	8607	0	0	1	1	1	1	1	1
HG00706	AE-panel-pairing	DPA1	198	0	19445	19628	72	73	1	1	1	1	1	1
HG00706	AE-panel-pairing	DPB1	180	0	22996	22996	178	180	1	1	1	1	1	1
HG00706	AE-panel-pairing	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG00706	AE-panel-pairing	DQB1	819	0	14213	14997	802	819	1	1	1	1	1	1
HG00706	AE-panel-pairing	DRB1	1330	0	22475	22490	0	666	1	1	1	1	1	1
HG02155	A-pairing	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG02155	A-pairing	B	0	2	8165	8165	0	0	1	1	1	1	1	1
HG02155	A-pairing	C	0	2	8607	8607	0	0	1	1	1	1	1	1
HG02155	A-pairing	DPA1	271	0	19384	19638	72	75	1	1	1	1	1	1
HG02155	A-pairing	DPB1	1	1	22928	22927	0	1	1	1	1	1	1	1
HG02155	A-pairing	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG02155	A-pairing	DQB1	822	0	14222	15006	814	822	1	1	1	1	1	1
HG02155	A-pairing	DRB1	965	0	22840	22494	0	663	1	1	1	1	1	1
HG02155	AE-ipd365-pairing	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG02155	AE-ipd365-pairing	B	0	2	8165	8165	0	0	1	1	1	1	1	1
HG02155	AE-ipd365-pairing	C	0	2	8607	8607	0	0	1	1	1	1	1	1
HG02155	AE-ipd365-pairing	DPA1	269	0	19384	19638	72	73	1	1	1	1	1	1
HG02155	AE-ipd365-pairing	DPB1	1	1	22928	22927	0	1	1	1	1	1	1	1
HG02155	AE-ipd365-pairing	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG02155	AE-ipd365-pairing	DQB1	822	0	14222	15006	814	822	1	1	1	1	1	1
HG02155	AE-ipd365-pairing	DRB1	965	0	22840	22494	0	663	1	1	1	1	1	1
