donor	arm	gene	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
HG00706	AG-homozygous	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG00706	AG-homozygous	B	1	1	8165	8165	0	1	1	1	1	1	1	1
HG00706	AG-homozygous	C	21	1	8586	8607	0	0	1	1	1	1	1	1
HG00706	AG-homozygous	DPA1	198	0	19445	19628	72	73	1	1	1	1	1	1
HG00706	AG-homozygous	DPB1	178	0	22996	22996	178	178	1	1	1	1	1	1
HG00706	AG-homozygous	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG00706	AG-homozygous	DQB1	819	0	14213	14997	802	819	1	1	1	1	1	1
HG00706	AG-homozygous	DRB1	1332	0	22475	22490	0	668	1	1	1	1	1	1
HG02155	AG-homozygous	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG02155	AG-homozygous	B	0	2	8165	8165	0	0	1	1	1	1	1	1
HG02155	AG-homozygous	C	0	2	8607	8607	0	0	1	1	1	1	1	1
HG02155	AG-homozygous	DPA1	271	0	19384	19638	72	75	1	1	1	1	1	1
HG02155	AG-homozygous	DPB1	1	1	22928	22927	0	1	1	1	1	1	1	1
HG02155	AG-homozygous	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG02155	AG-homozygous	DQB1	822	0	14222	15006	814	822	1	1	1	1	1	1
HG02155	AG-homozygous	DRB1	318	0	22840	23140	0	16	1	1	1	1	1	1
HG03804	AG-homozygous	A	0	2	7005	7005	0	0	1	1	1	1	1	1
HG03804	AG-homozygous	B	12	1	8190	8179	0	12	1	1	1	1	1	1
HG03804	AG-homozygous	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03804	AG-homozygous	DPA1	4045	0	15509	19552	0	2	1	1	1	1	1	1
HG03804	AG-homozygous	DPB1	99	0	22992	22992	98	99	1	1	1	1	1	1
HG03804	AG-homozygous	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG03804	AG-homozygous	DQB1	876	0	14197	14981	858	876	1	1	1	1	1	1
HG03804	AG-homozygous	DRB1	623	0	22532	23136	0	17	1	1	1	0	0	0
